title,companyname,location,salary,summary
"SCIENTIST/SENIOR SCIENTIST (BIOINFORMATICIAN)","Singapore Food Agency",Singapore,None,"Familiar with Illumina and/or Nanopore sequencing data analysis.
Conduct phylogenetic and statistical inference to obtain biological insights from big genomic…"
"AVP/Senior Associate,DBS Consumer Brand Marketing, Consumer...","DBS Bank",Singapore,None,"Be a marketer and inner data scientist.
Analyze data and create valuable insights to drive digital ATE, build segment knowledge and expertise, and identify…"
"Senior/Lead Scientist",Lonza,Tuas,None,"Review and interpret raw data to produce good quality process knowledge and data sets suitable for inspection by regulatory agencies."
"Research Fellow/Senior Research Fellow","Solar Energy Research Institute of Singapore",Queenstown,None,"Solar energy is currently the most technically and economically viable renewable energy option for Singapore.
Explore synergies and co-operative strategies that…"
"Junior Researcher","QUILT AI PTE. LTD.",Singapore,"$3,000 - $3,500 a month","Data science and analytics, quantitative research, and/or.
Cultural data scientists humanise big data with behavioural and cultural insights to help…"
"Data Analyst (HR)","Sciente Consulting Pte. Ltd",Singapore,None,"Minimum 2 years of relevant experience as Data Analyst, Data Scientist, Business Analytics;
Possess technical expertise on data modelling, database design…"
"Scientist / Centre for Animal & Veterinary Sciences","National Parks Board",Singapore,None,"Experience in using various software for phylogenetic analyses and data mining.
As a member of a multi-disciplinary team in charge of the risk assessment and…"
"Scientist 1 - Protein Engineering",Illumina,Woodlands,None,"PhD in Life Sciences in a relevant field such as protein engineering with experience in Next Generation Sequencing (NGS) data handling or bioinformatics will be…"
"Research Assistant","Duke NUS graduate medical school Singapore",Outram,None,"Liaise with other team members to ensure that the required equipment, materials and data are available when required.
Programme in Cancer & Stem Cell Biology."
"Software Engineer",Nugit,Singapore,None,"You are a team player - you want to work with engineers, designers and data scientists from all over the world.
You will work together with the API team to:"
"Full Stack Solution Architect – Trading",Cargill,Singapore,None,"Analyse data requirements, develop and document data dictionary, and develop data models.
The strategic importance of an Enterprise wide data driven strategy to…"
"Manager, Algorithm Engineer","LAZADA SOUTH EAST ASIA PTE. LTD.","Shenton Way","$7,000 - $12,000 a month","Hands on experience with data visualisation tools such as Tableau, Spotfire, Qlik, etc.
Experience in data analysis and machine learning libraries (pandas,…"
"Bioprocess Scientist (Fermentation)","ESCO ASTER PTE. LTD.",Singapore,"$4,000 - $6,000 a month","The Scientist will be able to work independently and work on problems of diverse scope requiring analysis of data and evaluation of identifiable factors."
"Research Assistant / Officer (Fermentation)","ESCO ASTER PTE. LTD.",Singapore,"$3,600 - $5,000 a month","The Scientist will be able to work independently and work on problems of diverse scope requiring analysis of data and evaluation of identifiable factors."
"Data Engineer","GMP Group",Singapore,None,"Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader."
"Scientist – Molecular and Cell Biology","Esco Ventures Pte Ltd",Singapore,None,"Present data from research work internally and externally.
Evaluate and interpret collected data and prepare oral presentations or written reports/ scientific…"
"IT - BI Consultant (Tableau)","NTT DATA SINGAPORE PTE. LTD.",Singapore,"$6,000 - $9,000 a month","Dimensional modeling) and data mining.
Background in data and business analysis.
Background in data warehouse design (e.g."
"Frontend Engineer",Smartkarma,Singapore,None,"We combine intelligence from the world’s premier analysts, academics, data scientists and industry experts in one collaborative network to help investors…"
"Product manager (Business Analyst plus)","ONECONNECT FINANCIAL TECHNOLOGY (SINGAPORE) CO. PT...",Singapore,"$5,000 - $10,000 a month","You will work also closely with marketing/consumer researchers, data scientists, and software engineers to develop proof-of-concepts and present the stories of…"
"Postdoctoral Fellow / Research Fellow: Healthcare Artificial...","NUS Saw Swee Hock School of Public Health",Singapore,None,"Data Consent for Job Applicants).
For “Healthcare Artificial Intelligence and Data Analytics”.
His research is to develop effective data.
Python or R or C++."
"Junior Scientist (1 year contract)",Firmenich,Tuas,None,"Junior Scientist (1 year contract).
Analyze data and write project reports or make recommendation.
Assist Senior Technical Development Managers in their…"
"Solution Architect","Siemens AG","Central Singapore",None,"Business Intelligence, Data Governance, Data Science, Machine Learning, Artificial Intelligence.
Translation of business requirements into solution concepts in…"
"Power BI Developer","Virtuos Games",Singapore,None,"Background in data preparation, data gateway and data warehousing projects.
Proven experience as BI Developer or Data Scientist."
"UX Designer (1 year contract)",Refinitiv,Raffles,None,"The team itself is multi-disciplinary comprising specialists in data science, software engineering and design.
The role (1 year contract)."
"Assistant Manager/Software Developer (1+1 year contract)","Info-communications Media Development Authority",Singapore,None,"Knowledge of digital infocomm technologies, trends and methods such as data engineering, cloud-native system architectures, artificial intelligence, and…"
"Full Stack Web Developer - Contract","Hays Malaysia",Singapore,None,"Work with data scientists and analysts to improve application.
Brilliant Job Opportunity with a Top Tier Investment Bank!"
"VP, Senior Data Analyst/Scientist, Digital Bank","United Overseas Bank Ltd UOB",Singapore,None,"In joining the Engagement Lab as a Data Scientist, you’ll be in a key role that helps deepen the customer interactions by applying advanced data analytics."
"Senior Big Data Engineer (AWS, Spark, SQL)","emporio analytics Pte. Ltd.",Singapore,None,"7 +years of hand-on experience in Data Engineering, Big Data Pipelines, AWS Cloud Technologies, Redshift and Spark.
Experience in SQL Server and SSIS a plus."
"Lynx Analytics - Front-end developer","TechSkills Accelerator",Singapore,None,"Work with the Data Science Team to develop applications to visualize data and graphs the best possible way.
We are looking for Front-end Developers to join us…"
"Senior Data Engineer (m/f/d)",Artefact,Singapore,None,"State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…"
"Capacity & Performance Network Analyst (Bulgaria)","Epsilon Telecommunications Limited",Singapore,None,"Ideally has a data analyst, data scientist or software development background/education.
Collecting usage data from the network."
"Senior Research Scientist","Nanyang Technological University",Singapore,None,"Analysis data and prepare documents for filing IP.
A Senior Research Scientist is required to embark on cancer research using traditional Chinese medicine…"
"Business Intelligence Architect","Sciente Consulting Pte. Ltd",Singapore,None,"Experienced in building data repositories â€“ both structured data warehouses ( DWH ) or NoSQL data stores;
Act as subject matter expert and work hand in hand…"
"Computer Vision & AR Prototyper -Innovation Group",Dell,Singapore,None,"At EIG we are a diverse range of people who have worked in industrial design, UX development, consulting, film, data science and more, all working together to…"
"Digital Use-case Innovator for Industries & Energy","Siemens AG","Central Singapore",None,"Awareness of cloud computing and edge computing technologies, big data analytics, as well as IT / Data/ Software architecture frameworks is a plus."
"Software Engineer (Backend), Singapore and Taiwan",Axinan,Singapore,None,"Work closely with fellow Engineers, Product Managers, Data Scientists and Designers to define, refine and implement features on product line."
"Chief Technology Officer",Omnistream,Singapore,None,"Omnistream is a retail algorithms company that turns the world’s largest retailer’s data into profits.
With a Can do attitude, willing to roll up your sleeves…"
"Software Developer","LUXOFT INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD...",Singapore,"$7,000 - $9,000 a month","O Developing software that directly interfaces with electrical devices (sending/receiving data, controlling electrical devices via software)."
"Azendian - Senior Data Engineer Role (Enable Data Access & U...","TechSkills Accelerator",Singapore,None,"We are looking for dynamic data professionals who will be leading data engineering team, designing and delivering high quality data products - data warehouse,…"
"Senior Research Assistant","SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN",Singapore,"$3,800 - $4,500 a month","Experience processing and cleaning data.
This project has support to capture data from government agencies and for potential wider implementation based on…"
"Associate Test Engineer (eBeam)",KLA-Tencor,Singapore,None,"These technologies serve the semiconductor, data storage, LED, and other related nanoelectronics industries.
With a portfolio of industry-standard products and…"
"Research Fellow/Research Associate, MERSU","Nanyang Technological University",Novena,None,"Experience in psychometric analysis of assessment data.
In addition, the appointee will assist preparing research materials, protocols, and will be involved in…"
"Research Associate","Nanyang Technological University",Singapore,None,"Time series data analysis, signal enhancement and feature extraction, auto feature engineering tools, big data processing, machine learning algorithms, neural…"
"Front End Engineer",Refinitiv,Singapore,None,"Networking in the fintech, big data and academic community through conferences, meetups and workshops – bringing cutting edge techniques and technology into…"
"Research Fellow (Flood Risk Analysis)","Nanyang Technological University",Singapore,None,"Conceive, design, prototype and implement solutions to collect and analyze complex data on flood hazard and its impacts on the built environment."
"Senior Data Control Specialist","Robert Walters",Singapore,None,"Experience with structured and unstructured data design/modelling, data access, security and data storage techniques.
Apply now to learn more."
"Research Fellow (Disaster Risk Reduction)","Nanyang Technological University",Singapore,None,"Experience working with spatial data.
Conceive, design, prototype and implement solutions to collect and analyze complex data on natural hazards and their…"
"Senior UX Researcher","Titansoft Pte Ltd","Central Singapore",None,"A good understanding of data and statistics.
You collect, test, analyse and interpret data to improve the product.
You know what users want."
"#SGUnitedJobs Scientist (Marine and Offshore Hydrodynamics),...","TECHNOLOGY CENTRE FOR OFFSHORE AND MARINE, SINGAPO...",Singapore,"$4,500 - $9,000 a month","Perform research in the following areas:
Offshore hydrodynamics and wave modelling.
Loads, motions and response analysis of Marine & Offshore platforms and…"
"AVP Sales – Consumer Goods",Antuit,"East Coast",None,"Serve as a trusted advisor to antuit.ai’s clients to use analytics and available data to more effectively run their business."
"R&D Technician",Glanbia,Singapore,None,"Able to operate various equipment to conduct testing for products, collecting and analyzing data, generating reports and timely update of results into data base…"
"Senior Frontend Engineer (m/f/d)","Oldendorff Carriers","Central Business District",None,"Oldendorff Carriers is seeking an enthusiastic and motivated individual to join the data applications team.
Experience with geospatial positioning, Mapbox, Web…"
"Senior Big Data Developer","Ensign InfoSecurity",Singapore,None,"Strong awareness of data security, data governance and performance, with an ability to deliver these key non-functional requirements."
"Campaign Strategist","ALEPH PTE. LTD.",Singapore,"$5,000 - $7,500 a month","Not a data scientist, but able to delve into data to find insights and confidently and clearly present to clients.
5+ years of data marketing experience."
"Director, Product Management, Data and Advanced Analytics","Perx Technologies Pte. Ltd.",Singapore,None,"Hands-on analysing data and methodology with Data Scientist and Data Engineer and determine the appropriate next course of design directions."
"BI Consultant","HEXAMATICS SINGAPORE PTE. LTD.",Singapore,"$6,000 - $10,000 a month","Dimensional modeling) and data mining.
Background in data and business analysis.
Background in data warehouse design (e.g."
"Head of DSL Strategy, Corporate & Programme Office","Info-communications Media Development Authority",Singapore,None,"Strong knowledge in policies & process compliance, business & technical project & product management and evaluation, business intelligence, data analysis and…"
"Fullstack Engineer","THE BANK OF NEW YORK MELLON",Singapore,"$10,000 - $15,000 a month","Experience in developing batch and real-time data pipelines with data processing frameworks like Scio, Storm, Spark or equivalent."
"Senior Front-End Engineer","BCG Digital Ventures",Singapore,None,"From product and test engineers to full stack engineers and data scientists, our venture builders all share a passion for innovative and emerging digital…"
"Data Tech Lead","Robert Walters",Singapore,None,"In this role, you will join a team that builds cutting-edge Data Systems, providing productivity tools and implementation methodologies to solve EB-level data…"
"Staff Sensor Characterization Engineer",KLA-Tencor,Singapore,None,"Experience in digital image processing techniques and statistical data analysis.
Analyze the digital image data from characterization system to generate the…"
"Lab Technician",Illumina,Woodlands,None,"Coordinate process validation execution, data collection and summaries.
Basic Function and Scope of the Position:
Document and analyze process test results."
"Research Fellow","SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN",Singapore,"$4,900 - $6,500 a month","Experience processing and cleaning data.
This project has support to capture data from government agencies and for potential wider implementation based on…"
"Manager/Cloud Native Software Engineer (1+1 year contract)","Info-communications Media Development Authority",Singapore,None,"The candidate will work with the solution architects and data scientists to develop software solutions for a wide variety of industries."
"Quality Assurance Engineer","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$5,000 - $7,000 a month","We combine intelligence from the world’s premier analysts, academics, data scientists and industry experts in one collaborative network to help investors…"
"Principal Research Scientist (Power System Engineering/Elect...","Nanyang Technological University",Singapore,None,"Energy Research Institute @ NTU invites applications for the position of Principal Research Scientist.
Experience in power system generation, transmission and…"
"Electrical Engineering Manager",Exponent,Singapore,None,"Experience in development of experimental design, construction of experimental apparatus, instrumentation, data acquisition, and data analysis."
"Research Fellow","Duke NUS graduate medical school Singapore",Outram,None,"Liaise with IT professionals to ensure secured storage of the generated genomics data.
The successful candidate will work with genomics data generated from…"
"Client Executive","Risk Management Solutions",Singapore,None,"Through this purpose-built platform, clients can tap into RMS HD models, rich data layers, intuitive applications and APIs that simply integrate into existing…"
"2020 Intern - F10 PEE Photo 2 (IoT)",Micron,Singapore,None,"Student will be collaborating with a multidisciplinary team of equipment and manufacturing engineers, data scientists, IT and software engineers to implement an…"
"Senior Business Development Manager, Autonomous Compute, Asi...","Amazon Web Services Singapore",Singapore,None,"You will facilitate the enablement of customers, sales and solution architects with specific customer centric value proposition about end-to-end Autonomous…"
"Big Data Engineer (Data Security Implementation and Design)",Singtel,Singapore,None,"Experience on structured and unstructured data design / modelling, data access, security and data storage techniques.
The ideal candidate should possess."
"Research Fellow (NIE - NSSE, Terrestrial Ecology Lab)","NANYANG TECHNOLOGICAL UNIVERSITY",Singapore,"$3,500 - $7,500 a month","Coordinate data collection, storage and archival.
Proficient in experimental design and field data collection (e.g., camera-trapping)."
"Digital Account Executive","Falcon Agency",Singapore,None,"Our account management team are part scientist, part entrepreneur and part artist.
You need to be creative, understand and use data, and have the skills to grow…"
"Materials Engineer, Contamination (GCMS/Gas Analyser)",Volt,Singapore,"$6,000 - $8,500 a month","Extract clear results from large, complex data sets and provide effective technical reports up to the Product Life Cycle level."
"Principal Investigator / Junior Principal Investigator","NATIONAL DENTAL CENTRE OF SINGAPORE PTE. LTD.",Singapore,"$3,000 - $3,700 a month","NMRC Clinical Scientist Award - Investigator), secure competitive international/ national research funding, and direct an extramurally-funded research programme…"
"Big Data Engineer (Design and Implementation)","Jobline Resources Pte Ltd",Singapore,None,"Experience on structured and unstructured data design / modelling, data access, security and data storage techniques."
"Medical Science Liaison","BAYER (SOUTH EAST ASIA) PTE LTD",Singapore,"$7,500 - $9,900 a month","Act as a scientific expert between Bayer and the medical community through the dissemination and education of scientific data and material."
"Research Fellow","National University of Singapore",Queenstown,None,"Interface with electrical engineers, data scientist, food technologist to implement a complete system.
Conduct independent research to analyse and interpret,…"
"Senior R&D Mechatronics Engineer",Volt,Singapore,"$6,000 - $8,000 a month","Prior experience of custom mechatronics systems, including translating stages, linear motors, temperature and power sensors, data acquisition, etc."
"Account Executive",Autodesk,Singapore,None,"Manage and qualify inbound leads and pipeline, with accurate and timely responses and forecast data.
We are looking for an energetic and motivated Account…"
"Customer Success Manager, Autodesk Construction Solutions",Autodesk,Singapore,None,"You will be the main driver for product adoption, expanding your network within the customer to identify and build repeatable adoption plays by collecting…"
"Manufacturing Director (Smart Factory)","Applied Materials Inc.",Singapore,None,"Prior experience in Data Analytics / Statistical Analysis.
Develop and lead team of data scientists to develop AI/Machine Learning & Automation solutions to…"
"Software Architect",Autodesk,Singapore,None,"Define and drive the Forge data work in a strategic direction from a technical perspective.
As Autodesk transitions to the cloud, our value comes from building…"
"#SGUnitedJobs Scientist (Structural Response of Ships & Mari...","TECHNOLOGY CENTRE FOR OFFSHORE AND MARINE, SINGAPO...",Singapore,"$4,500 - $9,000 a month","Knowledge/ experience in sensing, data analytics, machine learning of marine and offshore systems at model- and fullscale will be an advantage."
"Intern for Financial Modeller","Solar Energy Research Institute of Singapore",Queenstown,None,"Analysis by running multiple scenarios with most recent data.
SERIS is Singapore’s national institute for applied solar energy research.
Such as PV + storage)."
"Research Fellow","National University of Singapore",Queenstown,None,"The Data Analytics Consulting Centre (www.science.nus.edu.sg/dacc) is recruiting data scientists, who can coordinate and supervise the centre’s various…"
"Research Fellow / Senior Research Assistant","Singapore University of Technology and Design",Changi,None,"Experience processing and cleaning data.
This work will be scaled to larger areas where possible to develop data for use in deriving more insight into user…"
"Front-end Developer - Innovation Group",Dell,Singapore,None,"At EIG we are a diverse range of people who have worked in industrial design, UX development, consulting, film, data science and more, all working together to…"
"product manager (data & analytics)",Randstad,Singapore,"$80,000 - $144,000 a year","Lead the process of defining, designing, testing and implementation of product solutions, including data modelling, data architecture, predictive research…"
"Territory Sales Hub Manager, Korea",Autodesk,Singapore,None,"Ability to deep dive in to data and guide the team with actionable insights.
This role will drive revenue growth by managing key initiatives and sales…"
"Postdoctoral Associate, SMART CAMP - Flagship 1 and 3_PDA_Im...","Singapore-MIT Alliance for Research and Technology",Singapore,None,"CAMP’s unique, enabling and cross-cutting capabilities include cell and clinical biology, microfluidics, real-time optics and spectroscopies, 3D-printed devices…"
"Customer Success Specialist for License Compliance, ASEAN",Autodesk,Singapore,None,"Monitor customer usage data, health indicators, renewal dates and growth opportunities and translate into strategies for success."
"Software Development Engineer","People Profilers Pte Ltd",Singapore,"$5,000 - $6,000 a month","Requirements Bachelor or Master Degree in EE/Communication/Computer Engineering Min 5 years of relevant experience CS/EE/Data Scientist specializing in Machine…"
"AI/ML, Solution Architect","Kerry Consulting Pte Ltd",Singapore,None,"The role represents an exciting opportunity to join a group of passionate technologists (data scientist, software engineers etc) in a newly created team."
"BI Consultant","Collabera Technologies Private Limited Inc",Singapore,None,"Â€¢Background in data and business analysis.
Â€¢To be the link between the needs of the organization and the data engineers/ scientists/analysts and the BI…"
"Senior Digital Account Executive (SG)","Falcon Agency",Singapore,None,"Our account management team are part scientist, part entrepreneur and part artist.
You need to be creative, understand and use data, and have the skills to grow…"
"Hedge Fund Database Architect","Winston Fox",Singapore,None,"Research new technologies for improved data management and efficient data retrieval.
Engaging with users to understand their data interface requirements."
"Senior Research Scientist (Electrical & Electronics Engineer...","NANYANG TECHNOLOGICAL UNIVERSITY",Singapore,"$5,000 - $8,000 a month","Skills to analyze and correlate processed data with device performance.
Microsystems Technology Development Centre (MTDC) at Temasek Laboratories@NTU is seeking…"
"Back-End Developer","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$4,000 - $6,000 a month","Implementation of security and data protection.
Extensive knowledge of Data Structure and Algorithms.
Design and implementation of data storage and delivery…"
"Frontend Developer","Techbridge Market Holdings Pte Ltd",Singapore,None,"Data Scientists to bring graph analytics intelligence to our business end users.
Prototype new features, integrate mock-ups into working application and the…"
"Postdoc Researcher - Building Resilience for Individual and...","ETH SINGAPORE SEC LTD.",Singapore,"$8,583 - $10,350 a month","You are a psychologist, cognitive scientist, behavioral economist or other behavioral scientist interested in finance, new technologies and cognition."
"Staff Optical Process Automation Engineer - Silicon Photonic...","Intel Technology Asia Pte Ltd",Singapore,None,"Moving Data With Light Be part of our revolution in high-speed optical connectivity products.
The data center is the underpinning for every data-driven service,…"
"VP/AVP, Machine Learning Engineer, Group Consumer Banking an...","DBS Bank",Singapore,None,"Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform."
"ED / SVP, Platform Architect, Group Consumer Banking and Big...","DBS Bank",Singapore,None,"Expertise in data modelling, data governance, data mastering, meta-data management, data security and compliance, data lifecycle management, data-tiering and…"
"SVP / VP, Solution Architect Big Data Analytics (CMP), Group...","DBS Bank",Singapore,None,"Expertise in data modelling, data governance, data mastering, meta-data management, data security and compliance, data lifecycle management, data-tiering and…"
"SVP / VP, Senior Product Lead - Strategic Initiatives, Regio...","DBS Bank",Singapore,None,"Supervise a team of Product Owners, Journey Designers, Testers and Data Scientists ensuring synergy in delivery across products and business unit."
"Manager, Digital Experience - Global Finance","Johnson & Johnson Family of Companies",Singapore,None,"Keep up-to-date with latest technology trends in the space of data analytics and data science.
Understanding of data Science capabilities for Recommendation…"
"Director of Engineering (Site Lead)",Twitter,Singapore,None,"We are currently a small team of data scientists, data engineers, network engineers, and performance engineers who are looking to grow our engineering presence…"
"Financial Analyst","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$4,000 - $6,000 a month","Analyze financial data and create financial models for decision support.
Recommend actions by analyzing and interpreting data and making comparative analyses;"
"IT Architect, Data Architecture","CTES Consulting Pte Ltd",Queenstown,None,"Responsible for data architecture artefacts such as data models, data specifications, data flows and data APIs associated with new, existing or modified data…"
"UX Designer",Refinitiv,Singapore,None,"The team itself is multi-disciplinary comprising specialists in data science, software engineering and design.
The role (1 year contract)*."
"Front-End Developer","SMARTKARMA INNOVATIONS PTE. LTD.",Changi,"$4,000 - $6,000 a month","We combine intelligence from the world’s premier analysts, academics, data scientists and industry experts in one collaborative network to help investors…"
"Employee Relations Manager, APAC",Autodesk,Singapore,None,"Strong analytical thinker, data driven, and creative in approach to driving positive employee relations and change.
This is an individual contributor role."
"Senior Embedded Software Engineer","GMP TECHNOLOGIES S PTE LTD",Singapore,"$6,000 - $7,000 a month","Develop GUI for module operation, control, data logging, troubleshooting and other functions.
Implement the control algorithm, state machine, data logging and…"
